Max,Min,Mean
8.89359144778,0.0,7.89397024041
7.95276325041,0.0,6.95335418052
7.47749418316,0.0,6.47856968078
7.70259877537,0.0,6.70432144119
7.909957123,0.0,6.9124494228
8.83755151497,0.0,7.8409588592
9.34309306447,0.0,8.34669819056
9.98849445869,0.0,8.99341236469
10.7851252757,0.0,9.79198079464
10.5269810174,0.0,9.53505265455
11.5022375046,0.0,10.5121843012
11.2497371444,0.0,10.261960409
11.9521547834,0.0,10.9663615454
12.4846371184,0.0,11.500447492
13.4079196413,0.0,12.4238035879
14.1721402687,0.0,13.1909279575
14.3168037275,0.0,13.3384636517
14.4416122205,0.0,13.46744347
14.3917535448,0.0,13.4214429669
14.9680729715,0.0,14.0016872338
14.6764594884,0.0,13.7134021354
15.4330484336,0.0,14.4753643376
14.7714965974,0.0,13.819202352
14.3590121263,0.0,13.4124635081
13.7457540685,0.0,12.7954837805
13.7932018359,0.0,12.8475512233
13.6232666558,0.0,12.6735411259
13.0659538659,0.0,12.1162052362
12.5119151714,0.0,11.5667533097
11.2510410539,0.0,10.3104019551
10.1136830021,0.0,9.17647092676
9.57629704836,0.0,8.63013921964
8.60169744127,0.0,7.65954383072
7.88776597095,0.0,6.9487274411
6.96204516543,0.0,6.02613452558
5.84488626073,0.0,4.91086496669
5.25382513647,0.0,4.31448437264
4.3833210591,0.0,3.44032144775
3.68336793913,0.0,2.74194800538
3.03590507066,0.0,2.0957630939
2.42629136318,0.0,1.48703084676
2.16459635923,0.0,1.23170069943
2.05534037155,0.0,1.1252683714
2.04367374469,0.0,1.12187071184
1.99215804142,0.0,1.08923475163
1.85601673707,0.0,0.977547635196
1.81826152056,0.0,0.907928958727
1.77212241879,0.0,0.888341088148
1.7771869104,0.0,0.899485471508
1.78951184593,0.0,0.904744128008
1.77141503433,0.0,0.876076642804
1.82338247341,0.0,0.929640177579
1.74798506396,0.0,0.871030047981
1.77610186716,0.0,0.881036131868
1.79570014493,0.0,0.910334073092
1.75704254634,0.0,0.876488566083
1.72632792713,0.0,0.850560193544
1.78543375432,0.0,0.882449747007
1.76292939701,0.0,0.871385677041
1.79469832015,0.0,0.911476176672
1.78100046466,0.0,0.898688619379
1.72180476118,0.0,0.845080152735
1.75975979144,0.0,0.889232560924
1.78710393055,0.0,0.912280346311
1.71249132275,0.0,0.838198389023
1.79311779282,0.0,0.915100890425
1.77688858822,0.0,0.9073869723
1.74087591036,0.0,0.868360322619
1.75511131299,0.0,0.859167354224
1.75101490385,0.0,0.8693414083
1.70824970719,0.0,0.845483276441
1.80372400879,0.0,0.905715156129
1.78828992181,0.0,0.883190029648
1.8181289428,0.0,0.931181286509
1.78684133435,0.0,0.892401220318
1.8204499364,0.0,0.93132192018
1.80333437792,0.0,0.918131061976
1.72812203768,0.0,0.865566161988
1.70793951765,0.0,0.829473287013
1.76166958173,0.0,0.894407220308
1.761916476,0.0,0.894532212463
1.75743318183,0.0,0.879133095354
1.77947865682,0.0,0.890982093024
1.76255629706,0.0,0.898091883736
1.69357783589,0.0,0.859866947873
1.70199206345,0.0,0.827999406551
1.78070247782,0.0,0.900754419264
1.72598108178,0.0,0.842584095062
1.75902938711,0.0,0.889263324914
1.73745740593,0.0,0.879915681146
1.78443607076,0.0,0.91675461347
1.78604944928,0.0,0.887468497303
1.76417036049,0.0,0.90548508459
1.77152243675,0.0,0.917412982342
1.74163245811,0.0,0.891511408948
1.71763028716,0.0,0.832537375056
1.76553218291,0.0,0.892976907453
1.72700808713,0.0,0.862431271714
1.74285353857,0.0,0.888911188403
1.7338763245,0.0,0.861339099509
1.74253429023,0.0,0.883046030396
1.72002146527,0.0,0.842890984769
1.71640728078,0.0,0.853875674079
1.73608387166,0.0,0.871489642067
1.76343908822,0.0,0.912568996259
1.74870754987,0.0,0.868936839741
